image_id,sherd_id,unit,part,type,image_side,image_id_original,unit_C,part_C,type_C
JD00042_exterior,JD00042,L01,body,,exterior,JD_00083,H690①,腹片,
JD00042_interior,JD00042,L01,body,,interior,JD_00084,H690①,腹片,
JD00043_exterior,JD00043,L01,body,,exterior,JD_00085,H690①,腹片,
JD00043_interior,JD00043,L01,body,,interior,JD_00086,H690①,腹片,
JD00044_exterior,JD00044,L01,body,,exterior,JD_00087,H690①,腹片,
JD00044_interior,JD00044,L01,body,,interior,JD_00088,H690①,腹片,
JD00045_exterior,JD00045,L01,body,,exterior,JD_00089,H690①,腹片,
JD00045_interior,JD00045,L01,body,,interior,JD_00090,H690①,腹片,
JD00046_exterior,JD00046,L01,body,,exterior,JD_00091,H690①,腹片,
JD00046_interior,JD00046,L01,body,,interior,JD_00092,H690①,腹片,
JD00047_exterior,JD00047,L01,rim,,exterior,JD_00093,H690①,口沿,
JD00047_interior,JD00047,L01,rim,,interior,JD_00094,H690①,口沿,
JD00048_exterior,JD00048,L01,body,,exterior,JD_00095,H690①,腹片,
JD00048_interior,JD00048,L01,body,,interior,JD_00096,H690①,腹片,
JD00049_exterior,JD00049,L01,body,,exterior,JD_00097,H690①,腹片,
JD00049_interior,JD00049,L01,body,,interior,JD_00098,H690①,腹片,
JD00050_exterior,JD00050,L01,body,,exterior,JD_00099,H690①,腹片,
JD00050_interior,JD00050,L01,body,,interior,JD_00100,H690①,腹片,
JD00051_exterior,JD00051,L01,round foot,,exterior,JD_00101,H690①,圈足,
JD00051_interior,JD00051,L01,round foot,,interior,JD_00102,H690①,圈足,
JD00052_exterior,JD00052,L01,round foot,,exterior,JD_00103,H690①,圈足,
JD00052_interior,JD00052,L01,round foot,,interior,JD_00104,H690①,圈足,
JD00053_exterior,JD00053,L01,body,,exterior,JD_00105,H690①,腹片,
JD00053_interior,JD00053,L01,body,,interior,JD_00106,H690①,腹片,
JD00054_exterior,JD00054,L01,body,,exterior,JD_00107,H690①,腹片,
JD00054_interior,JD00054,L01,body,,interior,JD_00108,H690①,腹片,
JD00055_exterior,JD00055,L01,rim,,exterior,JD_00109,H690①,口沿,
JD00055_interior,JD00055,L01,rim,,interior,JD_00110,H690①,口沿,
JD00056_exterior,JD00056,L01,body,,exterior,JD_00111,H690①,腹片,
JD00056_interior,JD00056,L01,body,,interior,JD_00112,H690①,腹片,
JD00057_exterior,JD00057,L01,body,,exterior,JD_00113,H690①,腹片,
JD00057_interior,JD00057,L01,body,,interior,JD_00114,H690①,腹片,
JD00058_exterior,JD00058,L01,body,,exterior,JD_00115,H690①,腹片,
JD00058_interior,JD00058,L01,body,,interior,JD_00116,H690①,腹片,
JD00059_exterior,JD00059,L01,body,,exterior,JD_00117,H690①,腹片,
JD00059_interior,JD00059,L01,body,,interior,JD_00118,H690①,腹片,
JD00060_exterior,JD00060,L01,body,,exterior,JD_00119,H690①,腹片,
JD00060_interior,JD00060,L01,body,,interior,JD_00120,H690①,腹片,
JD00061_1_exterior,JD00061_1,L01,body,,exterior,JD_00121_1,H690①,腹片,
JD00061_2_exterior,JD00061_2,L01,body,,exterior,JD_00121_2,H690①,腹片,
JD00061_1_interior,JD00061_1,L01,body,,interior,JD_00122_1,H690①,腹片,
JD00061_2_interior,JD00061_2,L01,body,,interior,JD_00122_2,H690①,腹片,
JD00062_exterior,JD00062,L01,body,,exterior,JD_00123,H690①,腹片,
JD00062_interior,JD00062,L01,body,,interior,JD_00124,H690①,腹片,
JD00063_exterior,JD00063,L01,rim,,exterior,JD_00125,H690①,口沿,
JD00063_interior,JD00063,L01,rim,,interior,JD_00126,H690①,口沿,
JD00064_exterior,JD00064,L01,rim,,exterior,JD_00127,H690①,口沿,
JD00064_interior,JD00064,L01,rim,,interior,JD_00128,H690①,口沿,
JD00065_exterior,JD00065,L01,body,,exterior,JD_00129,H690①,腹片,
JD00065_interior,JD00065,L01,body,,interior,JD_00130,H690①,腹片,
JD00066_exterior,JD00066,L01,rim,,exterior,JD_00131,H690①,口沿,
JD00066_interior,JD00066,L01,rim,,interior,JD_00132,H690①,口沿,
JD00067_exterior,JD00067,L01,body,,exterior,JD_00133,H690①,腹片,
JD00067_interior,JD00067,L01,body,,interior,JD_00134,H690①,腹片,
JD00068_exterior,JD00068,L01,body,,exterior,JD_00135,H690①,腹片,
JD00068_interior,JD00068,L01,body,,interior,JD_00136,H690①,腹片,
JD00069_exterior,JD00069,L01,body,,exterior,JD_00137,H690①,腹片,
JD00069_interior,JD00069,L01,body,,interior,JD_00138,H690①,腹片,
JD00070_exterior,JD00070,L01,body,,exterior,JD_00139,H690①,腹片,
JD00070_interior,JD00070,L01,body,,interior,JD_00140,H690①,腹片,
JD00071_exterior,JD00071,L01,body,,exterior,JD_00141,H690①,腹片,
JD00071_interior,JD00071,L01,body,,interior,JD_00142,H690①,腹片,
JD00072_exterior,JD00072,L01,body,,exterior,JD_00143,H690①,腹片,
JD00072_interior,JD00072,L01,body,,interior,JD_00144,H690①,腹片,
JD00073_exterior,JD00073,L01,body,,exterior,JD_00145,H690①,腹片,
JD00073_interior,JD00073,L01,body,,interior,JD_00146,H690①,腹片,
JD00074_exterior,JD00074,L01,body,,exterior,JD_00147,H690①,腹片,
JD00074_interior,JD00074,L01,body,,interior,JD_00148,H690①,腹片,
JD00075_exterior,JD00075,L01,body,,exterior,JD_00149,H690①,腹片,
JD00075_interior,JD00075,L01,body,,interior,JD_00150,H690①,腹片,
JD00076_exterior,JD00076,L01,body,,exterior,JD_00151,H690①,腹片,
JD00076_interior,JD00076,L01,body,,interior,JD_00152,H690①,腹片,
JD00077_exterior,JD00077,L01,body,,exterior,JD_00153,H690①,腹片,
JD00077_interior,JD00077,L01,body,,interior,JD_00154,H690①,腹片,
JD00078_exterior,JD00078,L01,body,,exterior,JD_00155,H690①,腹片,
JD00078_interior,JD00078,L01,body,,interior,JD_00156,H690①,腹片,
JD00079_exterior,JD00079,L01,rim,,exterior,JD_00157,H690①,口沿,
JD00079_interior,JD00079,L01,rim,,interior,JD_00158,H690①,口沿,
JD00080_exterior,JD00080,L01,body,,exterior,JD_00159,H690①,腹片,
JD00080_interior,JD00080,L01,body,,interior,JD_00160,H690①,腹片,
JD00081_exterior,JD00081,L01,body,,exterior,JD_00161,H690①,腹片,
JD00081_interior,JD00081,L01,body,,interior,JD_00162,H690①,腹片,
JD00082_exterior,JD00082,L01,body,,exterior,JD_00163,H690①,腹片,
JD00082_interior,JD00082,L01,body,,interior,JD_00164,H690①,腹片,
JD00083_exterior,JD00083,L01,base,,exterior,JD_00165,H690①,器底,
JD00083_interior,JD00083,L01,base,,interior,JD_00166,H690①,器底,
JD00084_exterior,JD00084,L01,body,,exterior,JD_00167,H690①,腹片,
JD00084_interior,JD00084,L01,body,,interior,JD_00168,H690①,腹片,
JD00085_exterior,JD00085,L01,body,,exterior,JD_00169,H690①,腹片,
JD00085_interior,JD00085,L01,body,,interior,JD_00170,H690①,腹片,
JD00086_exterior,JD00086,L01,body,,exterior,JD_00171,H690①,腹片,
JD00086_interior,JD00086,L01,body,,interior,JD_00172,H690①,腹片,
JD00087_exterior,JD00087,L01,body,,exterior,JD_00173,H690①,腹片,
JD00087_interior,JD00087,L01,body,,interior,JD_00174,H690①,腹片,
JD00088_exterior,JD00088,L01,body,,exterior,JD_00175,H690①,腹片,
JD00088_interior,JD00088,L01,body,,interior,JD_00176,H690①,腹片,
JD00089_exterior,JD00089,L01,body,,exterior,JD_00177,H690①,腹片,
JD00089_interior,JD00089,L01,body,,interior,JD_00178,H690①,腹片,
JD00090_exterior,JD00090,L01,body,,exterior,JD_00179,H690①,腹片,
JD00090_interior,JD00090,L01,body,,interior,JD_00180,H690①,腹片,
JD00091_exterior,JD00091,L01,body,,exterior,JD_00181,H690①,腹片,
JD00091_interior,JD00091,L01,body,,interior,JD_00182,H690①,腹片,
JD00092_exterior,JD00092,L01,body,,exterior,JD_00183,H690①,腹片,
JD00092_interior,JD00092,L01,body,,interior,JD_00184,H690①,腹片,
JD00093_exterior,JD00093,L01,body,,exterior,JD_00185,H690①,腹片,
JD00093_interior,JD00093,L01,body,,interior,JD_00186,H690①,腹片,
JD00094_exterior,JD00094,L01,body,,exterior,JD_00187,H690①,腹片,
JD00094_interior,JD00094,L01,body,,interior,JD_00188,H690①,腹片,
JD00095_exterior,JD00095,L01,body,,exterior,JD_00189,H690①,腹片,
JD00095_interior,JD00095,L01,body,,interior,JD_00190,H690①,腹片,
JD00096_exterior,JD00096,L01,body,,exterior,JD_00191,H690①,腹片,
JD00096_interior,JD00096,L01,body,,interior,JD_00192,H690①,腹片,
JD00097_exterior,JD00097,L01,body,,exterior,JD_00193,H690①,腹片,
JD00097_interior,JD00097,L01,body,,interior,JD_00194,H690①,腹片,
JD00098_exterior,JD00098,L01,body,,exterior,JD_00195,H690①,腹片,
JD00098_interior,JD00098,L01,body,,interior,JD_00196,H690①,腹片,
JD00099_exterior,JD00099,L01,body,,exterior,JD_00197,H690①,腹片,
JD00099_interior,JD00099,L01,body,,interior,JD_00198,H690①,腹片,
JD00100_exterior,JD00100,L01,body,,exterior,JD_00199,H690①,腹片,
JD00100_interior,JD00100,L01,body,,interior,JD_00200,H690①,腹片,
JD00101_exterior,JD00101,L01,body,,exterior,JD_00201,H690①,腹片,
JD00101_interior,JD00101,L01,body,,interior,JD_00202,H690①,腹片,
JD00102_exterior,JD00102,L01,body,,exterior,JD_00203,H690①,腹片,
JD00102_interior,JD00102,L01,body,,interior,JD_00204,H690①,腹片,
JD00103_exterior,JD00103,L01,body,,exterior,JD_00205,H690①,腹片,
JD00103_interior,JD00103,L01,body,,interior,JD_00206,H690①,腹片,
JD00104_exterior,JD00104,L01,body,,exterior,JD_00207,H690①,腹片,
JD00104_interior,JD00104,L01,body,,interior,JD_00208,H690①,腹片,
JD00105_exterior,JD00105,L01,body,,exterior,JD_00209,H690①,腹片,
JD00105_interior,JD00105,L01,body,,interior,JD_00210,H690①,腹片,
JD00106_exterior,JD00106,L01,body,,exterior,JD_00211,H690①,腹片,
JD00106_interior,JD00106,L01,body,,interior,JD_00212,H690①,腹片,
JD00107_exterior,JD00107,L01,rim,li,exterior,JD_00213,H690①,口沿,鬲
JD00107_interior,JD00107,L01,rim,li,interior,JD_00214,H690①,口沿,鬲
JD00108_exterior,JD00108,L01,rim,,exterior,JD_00215,H690①,口沿,
JD00108_interior,JD00108,L01,rim,,interior,JD_00216,H690①,口沿,
JD00109_exterior,JD00109,L01,body,,exterior,JD_00217,H690①,腹片,
JD00109_interior,JD00109,L01,body,,interior,JD_00218,H690①,腹片,
JD00110_exterior,JD00110,L01,body,,exterior,JD_00219,H690①,腹片,
JD00110_interior,JD00110,L01,body,,interior,JD_00220,H690①,腹片,
JD00111_exterior,JD00111,L01,rim,,exterior,JD_00221,H690①,口沿,
JD00111_interior,JD00111,L01,rim,,interior,JD_00222,H690①,口沿,
JD00112_exterior,JD00112,L01,body,,exterior,JD_00223,H690①,腹片,
JD00112_interior,JD00112,L01,body,,interior,JD_00224,H690①,腹片,
JD00113_exterior,JD00113,L01,body,,exterior,JD_00225,H690①,腹片,
JD00113_interior,JD00113,L01,body,,interior,JD_00226,H690①,腹片,
JD00114_exterior,JD00114,L01,body,,exterior,JD_00227,H690①,腹片,
JD00114_interior,JD00114,L01,body,,interior,JD_00228,H690①,腹片,
JD00115_exterior,JD00115,L01,rim,,exterior,JD_00229,H690①,口沿,
JD00115_interior,JD00115,L01,rim,,interior,JD_00230,H690①,口沿,
JD00116_exterior,JD00116,L01,rim,,exterior,JD_00231,H690①,口沿,
JD00116_interior,JD00116,L01,rim,,interior,JD_00232,H690①,口沿,
JD00117_exterior,JD00117,L01,body,,exterior,JD_00233,H690①,腹片,
JD00117_interior,JD00117,L01,body,,interior,JD_00234,H690①,腹片,
JD00118_exterior,JD00118,L01,rim,wen,exterior,JD_00235,H690①,口沿,瓮
JD00118_interior,JD00118,L01,rim,wen,interior,JD_00236,H690①,口沿,瓮
JD00119_exterior,JD00119,L01,base,,exterior,JD_00237,H690①,器底,
JD00119_interior,JD00119,L01,base,,interior,JD_00238,H690①,器底,
JD00120_exterior,JD00120,L01,body,,exterior,JD_00239,H690①,腹片,
JD00120_interior,JD00120,L01,body,,interior,JD_00240,H690①,腹片,
JD00121_exterior,JD00121,L01,rim,,exterior,JD_00241,H690①,口沿,
JD00121_interior,JD00121,L01,rim,,interior,JD_00242,H690①,口沿,
JD00122_exterior,JD00122,L01,rim,,exterior,JD_00243,H690①,口沿,
JD00122_interior,JD00122,L01,rim,,interior,JD_00244,H690①,口沿,
JD00123_exterior,JD00123,L01,body,,exterior,JD_00245,H690①,腹片,
JD00123_interior,JD00123,L01,body,,interior,JD_00246,H690①,腹片,
JD00124_exterior,JD00124,L01,rim,,exterior,JD_00247,H690①,口沿,
JD00124_interior,JD00124,L01,rim,,interior,JD_00248,H690①,口沿,
JD00125_exterior,JD00125,L01,body,,exterior,JD_00249,H690①,腹片,
JD00125_interior,JD00125,L01,body,,interior,JD_00250,H690①,腹片,
JD00126_exterior,JD00126,L01,body,,exterior,JD_00251,H690①,腹片,
JD00126_interior,JD00126,L01,body,,interior,JD_00252,H690①,腹片,
JD00127_exterior,JD00127,L01,body,,exterior,JD_00253,H690①,腹片,
JD00127_interior,JD00127,L01,body,,interior,JD_00254,H690①,腹片,
JD00128_exterior,JD00128,L01,rim,,exterior,JD_00255,H690①,口沿,
JD00128_interior,JD00128,L01,rim,,interior,JD_00256,H690①,口沿,
JD00129_exterior,JD00129,L01,body,,exterior,JD_00257,H690①,腹片,
JD00129_interior,JD00129,L01,body,,interior,JD_00258,H690①,腹片,
JD00130_exterior,JD00130,L01,body,,exterior,JD_00259,H690①,腹片,
JD00130_interior,JD00130,L01,body,,interior,JD_00260,H690①,腹片,
JD00131_exterior,JD00131,L01,body,,exterior,JD_00261,H690①,腹片,
JD00131_interior,JD00131,L01,body,,interior,JD_00262,H690①,腹片,
JD00132_exterior,JD00132,L01,body,,exterior,JD_00263,H690①,腹片,
JD00132_interior,JD00132,L01,body,,interior,JD_00264,H690①,腹片,
JD00133_exterior,JD00133,L01,body,,exterior,JD_00265,H690①,腹片,
JD00133_interior,JD00133,L01,body,,interior,JD_00266,H690①,腹片,
JD00134_exterior,JD00134,L01,body,,exterior,JD_00267,H690①,腹片,
JD00134_interior,JD00134,L01,body,,interior,JD_00268,H690①,腹片,
JD00135_exterior,JD00135,L01,body,,exterior,JD_00269,H690①,腹片,
JD00135_interior,JD00135,L01,body,,interior,JD_00270,H690①,腹片,
JD00136_exterior,JD00136,L01,body,,exterior,JD_00271,H690①,腹片,
JD00136_interior,JD00136,L01,body,,interior,JD_00272,H690①,腹片,
JD00137_exterior,JD00137,L01,body,,exterior,JD_00273,H690①,腹片,
JD00137_interior,JD00137,L01,body,,interior,JD_00274,H690①,腹片,
JD00138_exterior,JD00138,L01,body,,exterior,JD_00275,H690①,腹片,
JD00138_interior,JD00138,L01,body,,interior,JD_00276,H690①,腹片,
JD00139_exterior,JD00139,L01,base,,exterior,JD_00277,H690①,器底,
JD00139_interior,JD00139,L01,base,,interior,JD_00278,H690①,器底,
JD00140_exterior,JD00140,L01,rim,,exterior,JD_00279,H690①,口沿,
JD00140_interior,JD00140,L01,rim,,interior,JD_00280,H690①,口沿,
JD00141_exterior,JD00141,L01,body,,exterior,JD_00281,H690①,腹片,
JD00141_interior,JD00141,L01,body,,interior,JD_00282,H690①,腹片,
JD00142_exterior,JD00142,L01,body,,exterior,JD_00283,H690①,腹片,
JD00142_interior,JD00142,L01,body,,interior,JD_00284,H690①,腹片,
JD00143_exterior,JD00143,L01,body,,exterior,JD_00285,H690①,腹片,
JD00143_interior,JD00143,L01,body,,interior,JD_00286,H690①,腹片,
JD00144_exterior,JD00144,L01,body,,exterior,JD_00287,H690①,腹片,
JD00144_interior,JD00144,L01,body,,interior,JD_00288,H690①,腹片,
JD00145_exterior,JD00145,L01,body,,exterior,JD_00289,H690①,腹片,
JD00145_interior,JD00145,L01,body,,interior,JD_00290,H690①,腹片,
JD00146_exterior,JD00146,L01,rim,,exterior,JD_00291,H690①,口沿,
JD00146_interior,JD00146,L01,rim,,interior,JD_00292,H690①,口沿,
JD00147_exterior,JD00147,L01,body,,exterior,JD_00293,H690①,腹片,
JD00147_interior,JD00147,L01,body,,interior,JD_00294,H690①,腹片,
JD00148_exterior,JD00148,L01,body,,exterior,JD_00295,H690①,腹片,
JD00148_interior,JD00148,L01,body,,interior,JD_00296,H690①,腹片,
JD00149_exterior,JD00149,L01,body,,exterior,JD_00297,H690①,腹片,
JD00149_interior,JD00149,L01,body,,interior,JD_00298,H690①,腹片,
JD00150_exterior,JD00150,L01,base,,exterior,JD_00299,H690①,器底,
JD00150_interior,JD00150,L01,base,,interior,JD_00300,H690①,器底,
JD00151_exterior,JD00151,L01,body,,exterior,JD_00301,H690①,腹片,
JD00151_interior,JD00151,L01,body,,interior,JD_00302,H690①,腹片,
JD00152_exterior,JD00152,L01,body,,exterior,JD_00303,H690①,腹片,
JD00152_interior,JD00152,L01,body,,interior,JD_00304,H690①,腹片,
JD00153_exterior,JD00153,L01,body,,exterior,JD_00305,H690①,腹片,
JD00153_interior,JD00153,L01,body,,interior,JD_00306,H690①,腹片,
JD00154_exterior,JD00154,L01,body,,exterior,JD_00307,H690①,腹片,
JD00154_interior,JD00154,L01,body,,interior,JD_00308,H690①,腹片,
JD00155_exterior,JD00155,L01,body,,exterior,JD_00309,H690①,腹片,
JD00155_interior,JD00155,L01,body,,interior,JD_00310,H690①,腹片,
JD00156_exterior,JD00156,L01,body,,exterior,JD_00311,H690①,腹片,
JD00156_interior,JD00156,L01,body,,interior,JD_00312,H690①,腹片,
JD00157_exterior,JD00157,L01,rim,,exterior,JD_00313,H690①,口沿,
JD00157_interior,JD00157,L01,rim,,interior,JD_00314,H690①,口沿,
JD00158_exterior,JD00158,L01,body,,exterior,JD_00315,H690①,腹片,
JD00158_interior,JD00158,L01,body,,interior,JD_00316,H690①,腹片,
JD00159_exterior,JD00159,L01,body,,exterior,JD_00317,H690①,腹片,
JD00159_interior,JD00159,L01,body,,interior,JD_00318,H690①,腹片,
JD00160_exterior,JD00160,L01,body,,exterior,JD_00319,H690①,腹片,
JD00160_interior,JD00160,L01,body,,interior,JD_00320,H690①,腹片,
JD00161_exterior,JD00161,L01,body,,exterior,JD_00321,H690①,腹片,
JD00161_interior,JD00161,L01,body,,interior,JD_00322,H690①,腹片,
JD00162_exterior,JD00162,L01,body,,exterior,JD_00323,H690①,腹片,
JD00162_interior,JD00162,L01,body,,interior,JD_00324,H690①,腹片,
JD00163_exterior,JD00163,L01,body,,exterior,JD_00325,H690①,腹片,
JD00163_interior,JD00163,L01,body,,interior,JD_00326,H690①,腹片,
JD00164_exterior,JD00164,L01,body,,exterior,JD_00327,H690①,腹片,
JD00164_interior,JD00164,L01,body,,interior,JD_00328,H690①,腹片,
JD00165_exterior,JD00165,L01,body,,exterior,JD_00329,H690①,腹片,
JD00165_interior,JD00165,L01,body,,interior,JD_00330,H690①,腹片,
JD00166_exterior,JD00166,L01,body,,exterior,JD_00331,H690①,腹片,
JD00166_interior,JD00166,L01,body,,interior,JD_00332,H690①,腹片,
JD00167_exterior,JD00167,L01,body,,exterior,JD_00333,H690①,腹片,
JD00167_interior,JD00167,L01,body,,interior,JD_00334,H690①,腹片,
JD00168_exterior,JD00168,L01,body,,exterior,JD_00335,H690①,腹片,
JD00168_interior,JD00168,L01,body,,interior,JD_00336,H690①,腹片,
JD00169_exterior,JD00169,L01,body,,exterior,JD_00337,H690①,腹片,
JD00169_interior,JD00169,L01,body,,interior,JD_00338,H690①,腹片,
JD00170_exterior,JD00170,L01,body,,exterior,JD_00339,H690①,腹片,
JD00170_interior,JD00170,L01,body,,interior,JD_00340,H690①,腹片,
JD00171_exterior,JD00171,L01,body,,exterior,JD_00341,H690①,腹片,
JD00171_interior,JD00171,L01,body,,interior,JD_00342,H690①,腹片,
JD00172_exterior,JD00172,L01,body,,exterior,JD_00343,H690①,腹片,
JD00172_interior,JD00172,L01,body,,interior,JD_00344,H690①,腹片,
JD00173_exterior,JD00173,L01,body,,exterior,JD_00345,H690①,腹片,
JD00173_interior,JD00173,L01,body,,interior,JD_00346,H690①,腹片,
JD00174_exterior,JD00174,L01,body,,exterior,JD_00347,H690①,腹片,
JD00174_interior,JD00174,L01,body,,interior,JD_00348,H690①,腹片,
JD00175_exterior,JD00175,L01,base,,exterior,JD_00349,H690①,器底,
JD00175_interior,JD00175,L01,base,,interior,JD_00350,H690①,器底,
JD00176_exterior,JD00176,L01,body,,exterior,JD_00351,H690①,腹片,
JD00176_interior,JD00176,L01,body,,interior,JD_00352,H690①,腹片,
JD00177_exterior,JD00177,L01,body,,exterior,JD_00353,H690①,腹片,
JD00177_interior,JD00177,L01,body,,interior,JD_00354,H690①,腹片,
JD00178_exterior,JD00178,L01,body,,exterior,JD_00355,H690①,腹片,
JD00178_interior,JD00178,L01,body,,interior,JD_00356,H690①,腹片,
JD00179_exterior,JD00179,L01,body,,exterior,JD_00357,H690①,腹片,
JD00179_interior,JD00179,L01,body,,interior,JD_00358,H690①,腹片,
JD00180_exterior,JD00180,L01,body,,exterior,JD_00359,H690①,腹片,
JD00180_interior,JD00180,L01,body,,interior,JD_00360,H690①,腹片,
